Country,1951,1961,1971,1981,1991,2001,2011,2021,1951_,1961_,1971_,1981_,1991_,2001_,2011_,2021_
Saint Pierre and Miquelon,4000,5000,6000,6000,6000,6000,6000,6000,19.6,21.4,24.5,26.5,27.6,27.2,26.3,25.6
Saint Vincent and the Grenadines,62000,85000,99000,108000,113000,114000,109000,105000,162.6,219.7,255.6,277.4,289.2,291.4,278.7,267.5
Samoa,89000,115000,144000,166000,168000,185000,195000,217000,31.8,41.3,51.3,58.7,59.6,65.6,69.4,77.3
San Marino,13000,16000,18000,21000,23000,27000,32000,34000,215.8,260.6,298.6,354,384.6,448.1,532.7,553.2
Sao Tome and Principe,62000,68000,78000,98000,122000,145000,184000,221000,64.6,71.6,82.5,103.3,128.2,152.4,193.8,232.4
Saudi Arabia,3136000,4233000,6243000,10422000,16333000,21816000,29815000,35764000,1.5,2,3,5,7.7,10.3,14,16.7
Senegal,2528000,3319000,4432000,5776000,7645000,9819000,12700000,16657000,13.3,17.5,23.4,30.4,40.3,51.6,66.9,87.7
Serbia,6055000,6608000,7219000,7800000,7992000,7924000,7637000,7332000,79.2,86.6,94.4,101.8,103.8,103.2,99.3,95.1
Seychelles,38000,44000,55000,66000,71000,81000,93000,106000,83.8,96.4,121.9,144.3,157,177.8,205.3,233
Sierra Leone,2014000,2321000,2806000,3402000,4443000,4683000,6524000,8328000,28.3,32.6,39.5,47.9,61,67.7,92.2,117.4
Singapore,1027000,1630000,2079000,2424000,3067000,4092000,5231000,5926000,1535.8,2426.9,3068.7,3589.6,4569,6034.2,7732.6,8698.5
Sint Maarten (Dutch part),2000,3000,6000,13000,29000,30000,33000,44000,46.2,84.9,198.1,386.3,877,894.2,979.7,1295.4
Slovakia,3493000,4155000,4539000,4993000,5269000,5377000,5399000,5456000,71.9,85.4,92.9,102.2,107.7,109.7,110.2,111.1
Slovenia,1452000,1607000,1748000,1910000,1989000,1983000,2063000,2119000,72.4,80.1,87.1,95.2,98.8,98.4,102.6,105.2
Solomon Islands,106000,135000,175000,238000,329000,435000,547000,699000,3.7,4.8,6.2,8.4,11.6,15.3,19.2,24.6
Somalia,2245000,2908000,3770000,6010000,6985000,8897000,12178000,16801000,3.6,4.7,6.1,9.5,10.7,14.5,19.5,27.2
South Africa,13180000,16740000,22702000,29850000,40453000,47020000,52104000,59138000,10.9,13.9,18.9,24.8,33.5,38.7,43,48.7
S. Sudan,2508000,2928000,3363000,4242000,4808000,6251000,10000000,10667000,4.5,5.2,6,7.6,8.6,11.3,18.2,19.1
Spain,28124000,30536000,33947000,37641000,38906000,40850000,46657000,47398000,56.2,61.1,67.9,75.2,77.6,81.5,93,94.5
Sri Lanka,8016000,9902000,12523000,15073000,17312000,18825000,20761000,21747000,129,159.8,201.8,242.4,277.8,301.7,332.7,347.2
State of Palestine,949000,1083000,1123000,1475000,2168000,3188000,4040000,5077000,158.4,181.4,188.7,248.8,367.8,536.6,679,852.7
Sudan,6284000,8449000,11479000,17033000,21277000,26632000,34080000,45053000,3.6,4.9,6.6,9.9,12.2,15.3,19.5,25.9
Suriname,198000,273000,386000,375000,414000,483000,549000,610000,1.3,1.8,2.5,2.4,2.7,3.1,3.5,3.9
Sweden,7043000,7513000,8051000,8320000,8571000,8883000,9424000,10417000,17.4,18.5,19.8,20.4,21.1,21.8,23.2,25.7
Switzerland,4717000,5360000,6193000,6335000,6750000,7202000,7869000,8671000,118.7,135.9,155.4,158.9,169.9,180.6,197.8,217.3
Syria,3581000,4681000,6425000,9050000,12596000,16512000,22590000,21059000,19.7,25.9,35.6,50.1,69.6,91.1,123.7,116.1
Tajikistan,1555000,2169000,3039000,4103000,5485000,6342000,7701000,9644000,11.1,15.4,21.6,29.1,38.8,44.8,54.4,68.1
